physical_parcel,previous_codes,proposed_codes,previous_revision,proposed_revision,action,confidence,status,evidence,previous_areas_sqm,proposed_areas_sqm,previous_geometry_versions,previous_geometry_hashes,proposed_geometry_hashes,proposed_geometry_version,production_entity_ids,production_lot_ids,required_approval
R faixa central superior cortada pela transversal,"[""Q-R-09"", ""Q-R-10"", ""Q-R-11"", ""Q-R-12"", ""Q-R-31"", ""Q-R-32"", ""Q-R-33"", ""Q-R-34"", ""Q-R-35"", ""Q-R-36"", ""Q-R-37"", ""Q-R-38"", ""Q-R-39"", ""Q-R-40""]","[""Q-R-09"", ""Q-R-10"", ""Q-R-11"", ""Q-R-12"", ""Q-R-29"", ""Q-R-30"", ""Q-R-31"", ""Q-R-32"", ""Q-R-33"", ""Q-R-34"", ""Q-R-35"", ""Q-R-36"", ""Q-R-37"", ""Q-R-38"", ""Q-R-39""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,reparcelamento_correspondencia_pendente,low,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-09"": 500, ""Q-R-10"": 500, ""Q-R-11"": 500, ""Q-R-12"": 500, ""Q-R-31"": 500, ""Q-R-32"": 500, ""Q-R-33"": 500, ""Q-R-34"": 500, ""Q-R-35"": 500, ""Q-R-36"": 500, ""Q-R-37"": 500, ""Q-R-38"": 500, ""Q-R-39"": 500, ""Q-R-40"": 491.26}","{""Q-R-09"": ""453.42"", ""Q-R-10"": ""453.42"", ""Q-R-11"": ""452.42"", ""Q-R-12"": ""452.42"", ""Q-R-29"": ""452.42"", ""Q-R-30"": ""452.42"", ""Q-R-31"": ""452.42"", ""Q-R-32"": ""447.55"", ""Q-R-33"": ""447.55"", ""Q-R-34"": ""447.55"", ""Q-R-35"": ""447.55"", ""Q-R-36"": ""447.55"", ""Q-R-37"": ""447.55"", ""Q-R-38"": ""447.55"", ""Q-R-39"": ""447.55""}","{""Q-R-09"": 5, ""Q-R-10"": 5, ""Q-R-11"": 5, ""Q-R-12"": 5, ""Q-R-31"": 5, ""Q-R-32"": 5, ""Q-R-33"": 5, ""Q-R-34"": 5, ""Q-R-35"": 5, ""Q-R-36"": 5, ""Q-R-37"": 5, ""Q-R-38"": 5, ""Q-R-39"": 5, ""Q-R-40"": 5}","{""Q-R-09"": ""a5144b66392727ef8844fcf5cbe1f911c8071dc1a2054959c04ddf6072a8df68"", ""Q-R-10"": ""70add9e4f8724a030e2cd8d8452dc484ba586f9434de760db26a684f63eb01f7"", ""Q-R-11"": ""7295d6ed3a653e9902e79ce43acedb2f2c2bc1ecad647a72a7aadc2f5f288a6d"", ""Q-R-12"": ""325968cef8574f56e4f09c5615f6ec401e012a68ddeff260f2a901b42e752118"", ""Q-R-31"": ""141b1867441bd1bbcc1eef439306e3da821e7d5a9d4ab04711b11d032e1863eb"", ""Q-R-32"": ""b14e250b14f8eca97e64d02f317d6211353313cb8014b2e7a56ae8ffe2eb3ff5"", ""Q-R-33"": ""f7099328bdf1daef735032f0274fc128b5eb45c4b660c57d992f9f9bc11f46cb"", ""Q-R-34"": ""c87ec6d7fe8d0acfbec579fcf5b8d860061fc4e61fc495429a54cebbbcd42f9b"", ""Q-R-35"": ""bd9fe306cc32fc0d9bcdb9324987e8ff2cdf0e86e695679c6e9387c0b76bb7c3"", ""Q-R-36"": ""8f159b75796fe2917a4dd0b24bc04af58fbaba4956dbacb44f5208233bf24a93"", ""Q-R-37"": ""eff73b9ae29acd5a721f2189fd25c7e51136fd04c7e2d6d428a32c736519aa12"", ""Q-R-38"": ""50c26f91d133e74a6f2f8cd1bac3fa46a13f185b792f5f535e3cfdffa6e29686"", ""Q-R-39"": ""24e15519632ba4f2cd630d20c4ef1929218320772c68928d01c8e6471dc10201"", ""Q-R-40"": ""6a71a44a47d227e5f96c54cdf69c5bc318df9c94ced18712350a9f8e73b33d71""}","{""Q-R-09"": ""7c3d95ff3fa2b168cac077da55a1da1532471b52d04e89fb5431f35edd3c98b7"", ""Q-R-10"": ""327941ced90a18d120a131ef9a35a6408a2d57012276effe1c680df383d9630a"", ""Q-R-11"": ""7c731c8d0efa72296910379a6969ad9c3fbbbdb652144d835e3c7a2f1b0ba370"", ""Q-R-12"": ""f780b1236adfb83499ab9237de2c80e688342cac9b018daac7b0b5f4845449f9"", ""Q-R-29"": ""639542ccef11e34953f7178ea9b6c70007f39874b4c354c46ca26a830152efa9"", ""Q-R-30"": ""b424de910ae3b30565b5a61b3e42aa04b53ce1c35b2442bf62e06cec3a0bda95"", ""Q-R-31"": ""7ac0b267794f1c968585984a35c34a239f5660f8944cf4a4816bcec2ad8d9c39"", ""Q-R-32"": ""db10a0b26eeb44712143862ba56ed150356ec948ef173a015f2fde2a0f227f16"", ""Q-R-33"": ""e83a1864fbfd314e450a08231a6f3bd33cbfdb3d965b2892164fc042a70d1cae"", ""Q-R-34"": ""78fb1e644eae93eda85189cc5ff735766c1395097dfde805e978d2faf4de3d8d"", ""Q-R-35"": ""fec5a04c7cf2e963811c33fba5f5c9be2ae90f3cdddaf2343712d382a5e4cac2"", ""Q-R-36"": ""e204e8afc7cf79260a29e4bf7073da4bb063b10fd8e91f3eea8be47e69d136ac"", ""Q-R-37"": ""c2676991562d6d4f30535d2ea1f9a1a12e803789e91d858d4fc85f83dd12c835"", ""Q-R-38"": ""01a0f924908df27c16170b7311e17b7d9a72bcbf58c0410a4a1c3c03a5d5a859"", ""Q-R-39"": ""7db6486376bec518ffd5dc0b2abbd49094796a4290054a8ac46aee0985eaac13""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R faixa central inferior e nova passagem,"[""Q-R-20"", ""Q-R-21"", ""Q-R-22"", ""Q-R-23"", ""Q-R-24"", ""Q-R-25"", ""Q-R-26"", ""Q-R-27""]","[""Q-R-20"", ""Q-R-21"", ""Q-R-22"", ""Q-R-23"", ""Q-R-24"", ""Q-R-25""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,reparcelamento_correspondencia_pendente,low,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-20"": 500, ""Q-R-21"": 500, ""Q-R-22"": 500, ""Q-R-23"": 500, ""Q-R-24"": 500, ""Q-R-25"": 500, ""Q-R-26"": 500, ""Q-R-27"": 500}","{""Q-R-20"": ""500.00"", ""Q-R-21"": ""500.00"", ""Q-R-22"": ""500.00"", ""Q-R-23"": ""504.28"", ""Q-R-24"": ""504.28"", ""Q-R-25"": ""504.28""}","{""Q-R-20"": 5, ""Q-R-21"": 5, ""Q-R-22"": 5, ""Q-R-23"": 5, ""Q-R-24"": 5, ""Q-R-25"": 5, ""Q-R-26"": 5, ""Q-R-27"": 5}","{""Q-R-20"": ""64733143ab19a2949322e32be6920be90d90f2b458cb82437d032d6125b42213"", ""Q-R-21"": ""776804b66ee744ac700f4405ad4b55150b8a0383398d65319aa05a7f76a1203c"", ""Q-R-22"": ""2c3fd969a145ee2f56c88a77e71d6fa1b425668a82f988dee3eaa4a608f07290"", ""Q-R-23"": ""f9e2b4edb0fbe93444e058c11500577fa7815754987b9c73c800b52e01119fe4"", ""Q-R-24"": ""d71afd02a243752f0fff0377645be095387028c7558be75439fdac5fac2d3e46"", ""Q-R-25"": ""a98f0f102029362d8a0bf0c89e7d48f5d87255fa17e494c00d0c902a04aeb230"", ""Q-R-26"": ""05997a0dcf8f3eb7be69a854542f175b6820f243d39b331a1346df1711fa2d79"", ""Q-R-27"": ""ead79dcdce4f96a65836de4a6beeb409359468f36545269f35e1afe6fbcc9fb7""}","{""Q-R-20"": ""54cf3f8d795591f14cf3b5a8e6975c421d528d27039b437164e9c0350a610171"", ""Q-R-21"": ""e7ea374d5c52353edb2ea52a4455252d3d11f8a8992a9fb534e305c2b1e3ed22"", ""Q-R-22"": ""219dbb510e2bc0c21664d6704243c49be868398ce8422e66f236e145388ef447"", ""Q-R-23"": ""7e440cf4541c46f0892e054cd9c2cb48841aa4cee06119541b8824c89f643af9"", ""Q-R-24"": ""84e1784f0d20da2e15caccc43cf2b9dc040698337837330ee449718f003d857b"", ""Q-R-25"": ""26b67753821423188c3f669c939de8c3e3808d9710386f6d28bfccc7641fa319""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S superior direita posicao 6,"[""Q-S-19""]","[""Q-S-18""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-19"": 411.83}","{""Q-S-18"": ""411.83""}","{""Q-S-19"": 5}","{""Q-S-19"": ""93015b923bc8e7b5760ca9ee1e4691782d14ef66950dc82fc3996fe110c39f68""}","{""Q-S-18"": ""7f43cb18d8b1707295ecccab479743e7985ae55a9e74432597eedf1dd61256e1""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S superior direita posicao 5,"[""Q-S-20""]","[""Q-S-19""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-20"": 450}","{""Q-S-19"": ""450.00""}","{""Q-S-20"": 5}","{""Q-S-20"": ""d238a3ca3eca53a0868a8d185f6663b3355ea6239ec51aead4f1d14fc9fc32b8""}","{""Q-S-19"": ""6aae8f54668cb77924ab9f68b05d0c9bba37932e71875090b7d0fb60bc77a29b""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S superior direita posicao 4,"[""Q-S-21""]","[""Q-S-20""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-21"": 450}","{""Q-S-20"": ""450.00""}","{""Q-S-21"": 5}","{""Q-S-21"": ""1a97d1578015283e28f74ffebbc109ebd558e3f4cd2ec2bf604c617679ddab76""}","{""Q-S-20"": ""3af38862fbe7e2533cc0401f90a28deb7f1ec1bcc3f43fabe0725fb405f31765""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S superior direita posicao 3,"[""Q-S-22""]","[""Q-S-21""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-22"": 450}","{""Q-S-21"": ""450.00""}","{""Q-S-22"": 5}","{""Q-S-22"": ""074ee8377fefcf20a59de470295006d91d83df86184d5a0c933aea3008e504bb""}","{""Q-S-21"": ""efb9f9341f06157603a4804d92d39280a2eff2798550a382d9f19fd87c000f85""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S superior direita posicao 2,"[""Q-S-23""]","[""Q-S-22""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-23"": 450}","{""Q-S-22"": ""450.00""}","{""Q-S-23"": 5}","{""Q-S-23"": ""538f73a07ddf1541822caf88ba29f00bf70b4863ad0c263be4e4ad129663763f""}","{""Q-S-22"": ""1543dcd409cd06c27948b60d51f988792ddc43d36d0c2e472f1a5fa662072f93""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S superior direita posicao 1,"[""Q-S-24""]","[""Q-S-23""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-24"": 450}","{""Q-S-23"": ""450.00""}","{""Q-S-24"": 5}","{""Q-S-24"": ""da32ab02dbcceff06a29750f946ac3aee7d903b07c2dd68aac23d0e7bdcbaf99""}","{""Q-S-23"": ""af7269ca9fad3ae91124ccbaf730f02134a651cb82b695a6745f73b13d27dafa""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S superior direita posicao 0,"[""Q-S-25""]","[""Q-S-24""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-25"": 450}","{""Q-S-24"": ""450.00""}","{""Q-S-25"": 5}","{""Q-S-25"": ""c83cc81ec34fc006657275f3441d3ad89aba1e51fcdfcd0109b127c3d3d6dacb""}","{""Q-S-24"": ""783d7e58ea8770fec3b9b42a98b22a47f4ca0d736e40a8d71ff8feab61f9f96e""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S inferior direita posicao 1,"[""Q-S-12""]","[""Q-S-11""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-12"": 450}","{""Q-S-11"": ""450.00""}","{""Q-S-12"": 5}","{""Q-S-12"": ""cbd12da6437243cb063c2eef3499ccd1b76f84f11893b8a5e999b3cc914f66ba""}","{""Q-S-11"": ""d65630c633b639ec05c8bdd685b81f97ddafcb019a5762811a542edb200fda09""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S inferior direita posicao 2,"[""Q-S-13""]","[""Q-S-12""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-13"": 450}","{""Q-S-12"": ""450.00""}","{""Q-S-13"": 5}","{""Q-S-13"": ""99940710d0e0719287ee4891b5827bd024e3cb2e08ab0628a6bcd199d8c8b793""}","{""Q-S-12"": ""53cab6656a66635570c67d7511e62bd564085bf63974622130b0ff5155ea862e""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S inferior direita posicao 3,"[""Q-S-14""]","[""Q-S-13""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-14"": 450}","{""Q-S-13"": ""450.00""}","{""Q-S-14"": 5}","{""Q-S-14"": ""25491067229ac774a1b72315c76488677a0c8c0c9955c53e9e314465791d0332""}","{""Q-S-13"": ""0d3f06867750cc729928432096349471844ca7a89a7431479e19829fafd1b838""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S inferior direita posicao 4,"[""Q-S-15""]","[""Q-S-14""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-15"": 450}","{""Q-S-14"": ""450.00""}","{""Q-S-15"": 5}","{""Q-S-15"": ""aaaedcae890aec341ea79fe29c55f637829e35c21372eb4d0de8332d065dbe43""}","{""Q-S-14"": ""ac795aa4ffe33f17aa0cc6b20dfe9f36801011640c99f93200fa448042d93591""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S inferior direita posicao 5,"[""Q-S-16""]","[""Q-S-15""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-16"": 450}","{""Q-S-15"": ""450.00""}","{""Q-S-16"": 5}","{""Q-S-16"": ""3108ed3669701629fd4f190b59ddfcdd51cc76d47207bcced7cfb3f5a846cccb""}","{""Q-S-15"": ""e32793a0b6f57e04e50291a46e3314f46a7590c95c874e927578135d82955998""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S inferior direita posicao 6,"[""Q-S-17""]","[""Q-S-16""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-17"": 450}","{""Q-S-16"": ""450.00""}","{""Q-S-17"": 5}","{""Q-S-17"": ""f8dd9f21ada6222551e9c0bdcb1984368a6cbc1e1a98e20aa50e79ccffba6f24""}","{""Q-S-16"": ""a7a90829394baebfba421ca54d5a502016fb2ed3df24bfe3ed71843dbe447436""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S inferior direita posicao 7,"[""Q-S-18""]","[""Q-S-17""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,renumeracao_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-18"": 348.98}","{""Q-S-17"": ""348.98""}","{""Q-S-18"": 5}","{""Q-S-18"": ""568834169b8d1578c9792a38bdd6b8a31bfbd73cef0a70848b75b321baf136e8""}","{""Q-S-17"": ""697b285037fce8169fc7ee6297cd32969a74a4de9ebcff3fdfc4a80bbe896bf2""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S superior esquerda terminal maior trocado de lado,"[""Q-S-26"", ""Q-S-27"", ""Q-S-28"", ""Q-S-29"", ""Q-S-30"", ""Q-S-31"", ""Q-S-32"", ""Q-S-33"", ""Q-S-34"", ""Q-S-35"", ""Q-S-36""]","[""Q-S-25"", ""Q-S-26"", ""Q-S-27"", ""Q-S-28"", ""Q-S-29"", ""Q-S-30"", ""Q-S-31"", ""Q-S-32"", ""Q-S-33"", ""Q-S-34"", ""Q-S-35""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,reparcelamento_correspondencia_pendente,low,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-26"": 650.05, ""Q-S-27"": 450, ""Q-S-28"": 450, ""Q-S-29"": 450, ""Q-S-30"": 450, ""Q-S-31"": 450, ""Q-S-32"": 450, ""Q-S-33"": 450, ""Q-S-34"": 450, ""Q-S-35"": 450, ""Q-S-36"": 450}","{""Q-S-25"": ""450.00"", ""Q-S-26"": ""450.00"", ""Q-S-27"": ""450.00"", ""Q-S-28"": ""450.00"", ""Q-S-29"": ""450.00"", ""Q-S-30"": ""450.00"", ""Q-S-31"": ""450.00"", ""Q-S-32"": ""450.00"", ""Q-S-33"": ""450.00"", ""Q-S-34"": ""450.00"", ""Q-S-35"": ""649.97""}","{""Q-S-26"": 5, ""Q-S-27"": 5, ""Q-S-28"": 5, ""Q-S-29"": 5, ""Q-S-30"": 5, ""Q-S-31"": 5, ""Q-S-32"": 5, ""Q-S-33"": 5, ""Q-S-34"": 5, ""Q-S-35"": 5, ""Q-S-36"": 5}","{""Q-S-26"": ""d3ceb26b727352863501632343cd244eb704ed61e6c8f75294bd422b7b6b4a85"", ""Q-S-27"": ""b8ab4f532b5bd684653d6b3a370043c5c424920195afa3747e01875d78c9d4f7"", ""Q-S-28"": ""46e1e9e5d9c2759ed1931f7945009996ac19965220501782322aca8695b045e2"", ""Q-S-29"": ""6e3a97cd77d06b470838ef46c11af44bf99f753349fecb9187eba04ee3287d22"", ""Q-S-30"": ""5e4e8d06d53f26379f6b42f7051efa6d9a03f931c5339e2d1e66a5c90bc47505"", ""Q-S-31"": ""1a12bb5d70a1ca32ec0e4dae7bc3301cb4386a041bcd198918b3ca1aef60fde0"", ""Q-S-32"": ""6145fe5991104f53b12771fe632c63ebf9242c025c34a8d9cf4cf302b8cc9d94"", ""Q-S-33"": ""5945c3e64aa4f00d53e608371000f3b77e0649f9434387b63199cebe17b9487f"", ""Q-S-34"": ""404f6b9de93a050d7a4b01b1da30f76889ac0a59efe49acf72715743fc720427"", ""Q-S-35"": ""9e89f067b881e5bcb8f6bafc34261baff4bd9f43fbd8c7112d2fe8d5c93b7361"", ""Q-S-36"": ""c3d617229ecf7cdacabc16318d0599c35fa1ce7e0a0d5d1c451674256ede1f5c""}","{""Q-S-25"": ""6eeb6975ff576ac8cf5139211388b75efb905cf9341482a1bb9b96062f87c71b"", ""Q-S-26"": ""1b18b51432de414370ad0f3743a325554799880691a19d46fb96494997801bc5"", ""Q-S-27"": ""2cc839669c8ab6ff224843ddb8d26bc41065a0a8c32c457148ac6661beb3dc9b"", ""Q-S-28"": ""acacfb7f1e63fc9731c1b85c1743e6672c5987d11466defa6eb78d478150900e"", ""Q-S-29"": ""791e76d5bd8ae235b9a783b39b9534b6220707b66f8dfc0c7ca25d3d3adb6a46"", ""Q-S-30"": ""608ef098cda79181f0fa6db8696904e453bad45d7a6a5822e4edaae82b8763f6"", ""Q-S-31"": ""b83090be1d96d8504a454f23227c2bdf0d7bfa92e78e45b5419f38811f468fe2"", ""Q-S-32"": ""0931c8895ec08080b89e1a2630b5209fde3ff31389e1985ed0e4f24a11b4d70b"", ""Q-S-33"": ""c4f308e4e2fe8c1f7f6db669530a9488cd25d3dc9196692218afa755e202b41a"", ""Q-S-34"": ""bfd6500898a8e1b7ae8d9cd43ee9a2278ca905b3239ba6e31ca6483e020d3d63"", ""Q-S-35"": ""2415b7ede603ab0169167d3dc53c000d72633c7518d53aa431db8f6df28927cf""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
S inferior esquerda cortada pela transversal,"[""Q-S-01"", ""Q-S-02"", ""Q-S-03"", ""Q-S-04"", ""Q-S-05"", ""Q-S-06"", ""Q-S-07"", ""Q-S-08"", ""Q-S-09"", ""Q-S-10"", ""Q-S-11""]","[""Q-S-01"", ""Q-S-02"", ""Q-S-03"", ""Q-S-04"", ""Q-S-05"", ""Q-S-06"", ""Q-S-07"", ""Q-S-08"", ""Q-S-09"", ""Q-S-10""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,reparcelamento_correspondencia_pendente,low,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-S-01"": 467.13, ""Q-S-02"": 450, ""Q-S-03"": 450, ""Q-S-04"": 450, ""Q-S-05"": 450, ""Q-S-06"": 450, ""Q-S-07"": 450, ""Q-S-08"": 450, ""Q-S-09"": 450, ""Q-S-10"": 450, ""Q-S-11"": 563.94}","{""Q-S-01"": ""500.00"", ""Q-S-02"": ""500.00"", ""Q-S-03"": ""500.00"", ""Q-S-04"": ""692.09"", ""Q-S-05"": ""450.11"", ""Q-S-06"": ""450.11"", ""Q-S-07"": ""450.11"", ""Q-S-08"": ""450.11"", ""Q-S-09"": ""450.11"", ""Q-S-10"": ""450.11""}","{""Q-S-01"": 5, ""Q-S-02"": 5, ""Q-S-03"": 5, ""Q-S-04"": 5, ""Q-S-05"": 5, ""Q-S-06"": 5, ""Q-S-07"": 5, ""Q-S-08"": 5, ""Q-S-09"": 5, ""Q-S-10"": 5, ""Q-S-11"": 5}","{""Q-S-01"": ""bddd5cabb5edd3246b073cd0d9ddabb92741a96eac0b90a642e02d778c5539be"", ""Q-S-02"": ""e5a01d3178ab55ea01b4a2f4dd449d9a0551fdb927ca9a4ccab022467aa106b6"", ""Q-S-03"": ""aaed40dc784dd8d683018839742c4eebc50580eb810444a546c76ae24741aa62"", ""Q-S-04"": ""15455141f658372968008195e47a04948cfe8dd8571e0af4407a63437eddfabc"", ""Q-S-05"": ""171c9455cee2ae545a59c84995912d39b0f8ceecc2c072c8b8836b7da34efe77"", ""Q-S-06"": ""75c0f01542e56dde8328aefae2aeb76226e872769c310ffd4e55d8087c90b5fe"", ""Q-S-07"": ""683929bb515236b3334226d0ff4597470dda2ac5371d2d350be4e3d82b6188c1"", ""Q-S-08"": ""ce37dd305fc160897bff381c3d5d7df7a8271ac13dc86e1beffb58ef41ed3ce2"", ""Q-S-09"": ""91af7f29abf52c21e4f46cdb88e63da0a36ba84ea7154d2f6d5cad42b41e8878"", ""Q-S-10"": ""2c34c3609692f5419086a1fa5f790d841c67e39e930a074e731079697fa5f99d"", ""Q-S-11"": ""3019f4b9586ab9c3fc1a86386aebd3bf7f860a78c16e802b83e827e4fe024614""}","{""Q-S-01"": ""18aeb647a2578120a162c20f5155859b49935bb3507aa0e54e443a9fbba3b873"", ""Q-S-02"": ""3744dec3bee96d99c3c9df284ea404c173d49ff07cb888aed5e5ff4b95fe3756"", ""Q-S-03"": ""9263a2b1846a8866e3ebfdaa11921cb71c2dfe45fd66a52caac8833dc76fcc40"", ""Q-S-04"": ""8ba9d595968d6dc52a93818aae3192740236ef3915507a417e7dba9cdffcea96"", ""Q-S-05"": ""1904c0e5f35512eb47d840313361f324213e98358377f004d94e7c03f3c62563"", ""Q-S-06"": ""19321b4c19a61d14604852a8975ce6e723e37b1aec3dee705885d1f2e71902e3"", ""Q-S-07"": ""beba978495adc8f678b46f9c8b62ac6076bd1aa4bc22617fa2b59c80a49d9950"", ""Q-S-08"": ""794a060506bcca3ebea849c85cc10536181c10760962ee0da1255d6e76600d9f"", ""Q-S-09"": ""5c38d9aa68d9d48d22c3c5e7d49cb4b7b76522962dec2adf94977f89e3412f89"", ""Q-S-10"": ""8a66803c6767f9a31e340c91c02905e526d8f6879e51aeede73b3c218e7a1ae8""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
